id,name,required_skills,posted
101,PlumbWell Services,"solar panels, circuits, circuit design, safety",2025-07-07
102,PowerLine Engineers,"concrete mixing, solar panels, masonry",2025-07-28
103,TilePro Solutions,"testing, blueprint reading, circuit design, electric systems",2025-07-22
104,SafeElectro,"budgeting, blueprint reading, maintenance, safety, pipe fitting",2025-06-01
105,ABC Constructions,"tools, metal cutting, repair",2025-07-06
106,PowerLine Engineers,"carpentry, framing, solar panels",2025-07-08
107,SteelWorks Inc.,"drywall, plumbing, circuits, tools, design",2025-07-04
108,PowerLine Engineers,"fabrication, multi-trade skills, green building",2025-06-10
109,MegaConstruct,"electric systems, water systems, maintenance, plumbing",2025-06-18
110,PowerLine Engineers,"metal cutting, budgeting, framing",2025-07-17
111,QuickBuild,"pouring, energy efficiency, plumbing, circuit design",2025-06-19
112,BuildRight Co.,"plumbing, energy efficiency, carpentry, masonry, safety protocols",2025-07-28
113,MegaConstruct,"budgeting, insulation, solar panels, maintenance, design",2025-06-19
114,ConcreteMasters,"project management, safety protocols, welding, tiles, safety",2025-07-02
115,UrbanGrid Energy,"metal cutting, construction, testing, safety protocols, framing",2025-06-08
116,PlumbWell Services,"inspection, repair, reinforcement, tiles",2025-07-03
117,FixItAll,"plumbing, HV lines, finishing, waterproofing",2025-07-07
118,FixItAll,"welding, multi-trade skills, reinforcement, tiles",2025-06-24
119,QuickBuild,"pouring, maintenance, circuit design, reinforcement, project management",2025-07-22
120,MegaConstruct,"project management, framing, tools",2025-06-07
121,PowerFix Ltd,"safety protocols, masonry, welding, plumbing, construction",2025-07-01
122,ABC Constructions,"reinforcement, framing, waterproofing",2025-07-15
123,PowerLine Engineers,"reinforcement, safety, green building, carpentry, solar panels",2025-06-19
124,UrbanGrid Energy,"pouring, inspection, insulation, circuit design, framing",2025-06-25
125,QuickBuild,"testing, solar panels, tools, fabrication, construction",2025-07-07
126,PowerFix Ltd,"design, circuit design, drywall, HV lines",2025-07-30
127,FixItAll,"project management, solar panels, installation, reinforcement",2025-06-04
128,QuickBuild,"drywall, tools, multi-trade skills, inspection",2025-06-11
129,SafeElectro,"construction, HV lines, installation, testing",2025-06-07
130,FreshCo Homes,"electrician, testing, tools",2025-06-12
131,PowerFix Ltd,"welding, drywall, blueprint reading",2025-06-17
132,PowerFix Ltd,"carpentry, fabrication, circuit design",2025-07-18
133,UrbanGrid Energy,"electrician, tools, metal cutting, safety",2025-07-17
